condition,tier,reasoning_regime,stratum,rows,answered_rows,claim_units,ungrounded_units,unsupported_claim_rate
raw,haiku45,"Claude Haiku 4.5, no thinking",all,50,40,140,78,0.557143
raw,haiku45,"Claude Haiku 4.5, no thinking",single_hop,18,18,88,33,0.375
raw,haiku45,"Claude Haiku 4.5, no thinking",clean_multi_hop,12,12,34,29,0.852941
raw,haiku45,"Claude Haiku 4.5, no thinking",action_to_parent,4,4,10,9,0.9
raw,haiku45,"Claude Haiku 4.5, no thinking",near_miss,8,4,6,5,0.833333
raw,haiku45,"Claude Haiku 4.5, no thinking",adversarial,8,2,2,2,1
raw,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",all,50,23,57,15,0.263158
raw,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",single_hop,18,18,41,9,0.219512
raw,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",clean_multi_hop,12,4,10,5,0.5
raw,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",action_to_parent,4,0,0,0,
raw,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",near_miss,8,1,6,1,0.166667
raw,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",adversarial,8,0,0,0,
raw,opus48,"Claude Opus 4.8, adaptive thinking at effort low",all,50,28,72,27,0.375
raw,opus48,"Claude Opus 4.8, adaptive thinking at effort low",single_hop,18,18,42,10,0.238095
raw,opus48,"Claude Opus 4.8, adaptive thinking at effort low",clean_multi_hop,12,8,18,14,0.777778
raw,opus48,"Claude Opus 4.8, adaptive thinking at effort low",action_to_parent,4,1,6,2,0.333333
raw,opus48,"Claude Opus 4.8, adaptive thinking at effort low",near_miss,8,1,6,1,0.166667
raw,opus48,"Claude Opus 4.8, adaptive thinking at effort low",adversarial,8,0,0,0,
raw,pooled,,all,150,91,269,120,0.446097
layer,haiku45,"Claude Haiku 4.5, no thinking",all,50,27,118,48,0.40678
layer,haiku45,"Claude Haiku 4.5, no thinking",single_hop,18,17,86,28,0.325581
layer,haiku45,"Claude Haiku 4.5, no thinking",clean_multi_hop,12,4,16,10,0.625
layer,haiku45,"Claude Haiku 4.5, no thinking",action_to_parent,4,2,7,6,0.857143
layer,haiku45,"Claude Haiku 4.5, no thinking",near_miss,8,4,9,4,0.444444
layer,haiku45,"Claude Haiku 4.5, no thinking",adversarial,8,0,0,0,
layer,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",all,50,19,58,13,0.224138
layer,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",single_hop,18,14,40,6,0.15
layer,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",clean_multi_hop,12,4,12,6,0.5
layer,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",action_to_parent,4,0,0,0,
layer,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",near_miss,8,1,6,1,0.166667
layer,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",adversarial,8,0,0,0,
layer,opus48,"Claude Opus 4.8, adaptive thinking at effort low",all,50,26,90,19,0.211111
layer,opus48,"Claude Opus 4.8, adaptive thinking at effort low",single_hop,18,18,58,11,0.189655
layer,opus48,"Claude Opus 4.8, adaptive thinking at effort low",clean_multi_hop,12,6,20,5,0.25
layer,opus48,"Claude Opus 4.8, adaptive thinking at effort low",action_to_parent,4,1,6,2,0.333333
layer,opus48,"Claude Opus 4.8, adaptive thinking at effort low",near_miss,8,1,6,1,0.166667
layer,opus48,"Claude Opus 4.8, adaptive thinking at effort low",adversarial,8,0,0,0,
layer,pooled,,all,150,72,266,80,0.300752
no_context,haiku45,"Claude Haiku 4.5, no thinking",all,50,20,124,124,
no_context,haiku45,"Claude Haiku 4.5, no thinking",single_hop,18,11,63,63,
no_context,haiku45,"Claude Haiku 4.5, no thinking",clean_multi_hop,12,6,29,29,
no_context,haiku45,"Claude Haiku 4.5, no thinking",action_to_parent,4,0,0,0,
no_context,haiku45,"Claude Haiku 4.5, no thinking",near_miss,8,0,0,0,
no_context,haiku45,"Claude Haiku 4.5, no thinking",adversarial,8,3,32,32,
no_context,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",all,50,12,30,27,
no_context,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",single_hop,18,6,7,6,
no_context,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",clean_multi_hop,12,4,9,7,
no_context,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",action_to_parent,4,0,0,0,
no_context,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",near_miss,8,0,0,0,
no_context,sonnet5,"Claude Sonnet 5, adaptive thinking at effort high",adversarial,8,2,14,14,
no_context,opus48,"Claude Opus 4.8, adaptive thinking at effort low",all,50,18,27,24,
no_context,opus48,"Claude Opus 4.8, adaptive thinking at effort low",single_hop,18,8,10,8,
no_context,opus48,"Claude Opus 4.8, adaptive thinking at effort low",clean_multi_hop,12,7,7,6,
no_context,opus48,"Claude Opus 4.8, adaptive thinking at effort low",action_to_parent,4,0,0,0,
no_context,opus48,"Claude Opus 4.8, adaptive thinking at effort low",near_miss,8,0,0,0,
no_context,opus48,"Claude Opus 4.8, adaptive thinking at effort low",adversarial,8,3,10,10,
no_context,pooled,,all,150,50,181,175,
